mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Jaraguá do Sul,Barra do Rio Cerro,apartamento,aluguel,31.4,28.0,40.9,25,7.09,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,apartamento,venda,5967.1,5365.6,8269.7,29,,agosto/2026
2026-08,Jaraguá do Sul,Centenário,apartamento,venda,6403.1,5421.4,7280.6,15,5.81,agosto/2026
2026-08,Jaraguá do Sul,Centenário,apartamento,aluguel,31.0,26.8,32.7,12,5.81,agosto/2026
2026-08,Jaraguá do Sul,Centro,apartamento,venda,7109.0,5241.0,9566.0,396,5.71,agosto/2026
2026-08,Jaraguá do Sul,Centro,apartamento,aluguel,33.8,27.1,44.5,91,5.71,agosto/2026
2026-08,Jaraguá do Sul,Chico de Paula,apartamento,venda,5587.9,4713.5,6374.6,23,,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,apartamento,venda,5920.4,5049.2,6944.4,97,6.67,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,apartamento,aluguel,32.9,26.9,39.9,26,6.67,agosto/2026
2026-08,Jaraguá do Sul,Estrada Nova,apartamento,venda,5048.1,4727.3,5645.2,25,,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,apartamento,venda,5506.4,4911.8,6375.5,52,6.95,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,apartamento,aluguel,31.9,25.2,41.1,28,6.95,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 84,apartamento,venda,4338.7,4264.7,4603.2,5,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 99,apartamento,venda,5381.6,4846.8,5843.9,26,6.87,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 99,apartamento,aluguel,30.8,27.0,36.4,30,6.87,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,apartamento,venda,6256.3,5138.4,7386.1,124,6.67,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,apartamento,aluguel,34.8,26.9,39.7,38,6.67,agosto/2026
2026-08,Jaraguá do Sul,João Pessoa,apartamento,venda,5200.0,4431.9,5991.5,39,7.57,agosto/2026
2026-08,Jaraguá do Sul,João Pessoa,apartamento,aluguel,32.8,28.3,36.3,26,7.57,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,apartamento,venda,4792.5,4415.3,5444.4,33,6.99,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,apartamento,aluguel,27.9,24.5,31.6,23,6.99,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,apartamento,venda,7631.6,5700.0,10802.9,77,5.71,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,apartamento,aluguel,36.3,25.1,56.6,18,5.71,agosto/2026
2026-08,Jaraguá do Sul,Rau,apartamento,venda,6045.9,5140.6,6749.5,63,7.4,agosto/2026
2026-08,Jaraguá do Sul,Rau,apartamento,aluguel,37.3,29.6,46.1,26,7.4,agosto/2026
2026-08,Jaraguá do Sul,Ribeirão Cavalo,apartamento,venda,4263.0,3942.0,4761.9,21,6.05,agosto/2026
2026-08,Jaraguá do Sul,Ribeirão Cavalo,apartamento,aluguel,21.5,18.7,27.1,6,6.05,agosto/2026
2026-08,Jaraguá do Sul,Rio da Luz,apartamento,venda,4047.7,3778.4,4596.6,7,,agosto/2026
2026-08,Jaraguá do Sul,Santa Luzia,apartamento,venda,3941.8,3603.0,4576.9,11,,agosto/2026
2026-08,Jaraguá do Sul,São Luís,apartamento,venda,5711.5,5206.4,6302.3,38,8.11,agosto/2026
2026-08,Jaraguá do Sul,São Luís,apartamento,aluguel,38.6,32.5,41.4,13,8.11,agosto/2026
2026-08,Jaraguá do Sul,Tifa Martins,apartamento,venda,4836.1,3966.1,5534.7,19,6.28,agosto/2026
2026-08,Jaraguá do Sul,Tifa Martins,apartamento,aluguel,25.3,23.1,30.6,9,6.28,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Norte,apartamento,venda,5230.8,4310.3,5789.5,29,,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Sul,apartamento,venda,5263.2,4683.5,6129.0,49,8.03,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Sul,apartamento,aluguel,35.2,27.2,36.8,15,8.03,agosto/2026
2026-08,Jaraguá do Sul,Vieira,apartamento,venda,5000.0,4118.4,6299.0,48,6.29,agosto/2026
2026-08,Jaraguá do Sul,Vieira,apartamento,aluguel,26.2,24.9,32.1,7,6.29,agosto/2026
2026-08,Jaraguá do Sul,Vila Lalau,apartamento,venda,6654.1,5452.2,8293.6,50,6.44,agosto/2026
2026-08,Jaraguá do Sul,Vila Lalau,apartamento,aluguel,35.7,28.5,41.2,26,6.44,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,apartamento,venda,5805.1,5262.4,6391.8,51,6.99,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,apartamento,aluguel,33.8,31.0,37.5,19,6.99,agosto/2026
